"Município";"Pib"
"Itambé (PE)";"522657"
"Itapetim (PE)";"139873"
"Itapissuma (PE)";"2383641"
"Itaquitinga (PE)";"160857"
"Jaboatão dos Guararapes (PE)";"16133556"
"Jaqueira (PE)";"111801"
"Jataúba (PE)";"154862"
"Jatobá (PE)";"153793"
"João Alfredo (PE)";"316644"
"Joaquim Nabuco (PE)";"181310"
"Jucati (PE)";"129270"
"Jupi (PE)";"214224"
"Jurema (PE)";"132840"
"Lagoa do Carro (PE)";"300635"
"Lagoa de Itaenga (PE)";"482859"
"Lagoa do Ouro (PE)";"139223"
"Lagoa dos Gatos (PE)";"135443"
"Lagoa Grande (PE)";"456844"
"Lajedo (PE)";"585576"
"Limoeiro (PE)";"838343"
"Macaparana (PE)";"283578"
"Machados (PE)";"216295"
"Manari (PE)";"139153"
"Maraial (PE)";"92490"
"Mirandiba (PE)";"163406"
"Moreno (PE)";"892506"
"Nazaré da Mata (PE)";"688468"
"Olinda (PE)";"5788250"
"Orobó (PE)";"398794"
"Orocó (PE)";"186448"
"Ouricuri (PE)";"780513"
"Palmares (PE)";"924146"
"Palmeirina (PE)";"79959"
"Panelas (PE)";"229556"
"Paranatama (PE)";"285773"
"Parnamirim (PE)";"213190"
"Passira (PE)";"264547"
"Paudalho (PE)";"926328"
"Paulista (PE)";"5591652"
"Pedra (PE)";"306398"
"Pesqueira (PE)";"869651"
"Petrolândia (PE)";"1675876"
"Petrolina (PE)";"7994036"
"Poção (PE)";"102107"
"Pombos (PE)";"532583"
"Primavera (PE)";"291696"
"Quipapá (PE)";"192325"
"Quixaba (PE)";"67064"
"Recife (PE)";"54970305"
"Riacho das Almas (PE)";"260563"
"Ribeirão (PE)";"576407"
"Rio Formoso (PE)";"379871"
"Sairé (PE)";"176225"
"Salgadinho (PE)";"80938"
"Salgueiro (PE)";"1002105"
"Saloá (PE)";"171051"
"Sanharó (PE)";"248264"
"Santa Cruz (PE)";"133592"
"Santa Cruz da Baixa Verde (PE)";"113554"
"Santa Cruz do Capibaribe (PE)";"1925734"
"Santa Filomena (PE)";"111830"
"Santa Maria da Boa Vista (PE)";"564000"
"Santa Maria do Cambucá (PE)";"122262"
"Santa Terezinha (PE)";"114824"
"São Benedito do Sul (PE)";"117017"
"São Bento do Una (PE)";"1485706"
"São Caitano (PE)";"447679"
"São João (PE)";"390211"
"São Joaquim do Monte (PE)";"185467"
"São José da Coroa Grande (PE)";"291007"
"São José do Belmonte (PE)";"341544"
"São José do Egito (PE)";"441117"
"São Lourenço da Mata (PE)";"1444200"
"São Vicente Férrer (PE)";"209528"
"Serra Talhada (PE)";"1693347"
"Serrita (PE)";"161153"
"Sertânia (PE)";"367389"
"Sirinhaém (PE)";"722495"
"Moreilândia (PE)";"90987"
"Solidão (PE)";"56661"
"Surubim (PE)";"915558"
"Tabira (PE)";"314903"
"Tacaimbó (PE)";"149159"
"Tacaratu (PE)";"251978"
"Tamandaré (PE)";"395834"
"Taquaritinga do Norte (PE)";"334642"
"Terezinha (PE)";"75618"
"Terra Nova (PE)";"95262"
"Timbaúba (PE)";"746607"
"Toritama (PE)";"764572"
"Tracunhaém (PE)";"176619"
"Trindade (PE)";"419024"
"Triunfo (PE)";"157358"
"Tupanatinga (PE)";"227130"
"Tuparetama (PE)";"89139"
"Venturosa (PE)";"247349"
"Verdejante (PE)";"80931"
"Vertente do Lério (PE)";"74060"
"Vertentes (PE)";"194511"
"Vicência (PE)";"519426"
"Vitória de Santo Antão (PE)";"4551843"
"Xexéu (PE)";"141411"
"Água Branca (AL)";"202655"
"Anadia (AL)";"250457"
"Arapiraca (AL)";"5915938"
"Atalaia (AL)";"1500344"
"Barra de Santo Antônio (AL)";"262005"
"Barra de São Miguel (AL)";"238431"
"Batalha (AL)";"229933"
"Belém (AL)";"191318"
"Belo Monte (AL)";"151387"
"Boca da Mata (AL)";"506028"
"Branquinha (AL)";"775410"
"Cacimbinhas (AL)";"140461"
"Cajueiro (AL)";"207869"
"Campestre (AL)";"87759"
"Campo Alegre (AL)";"734648"
"Campo Grande (AL)";"106114"
"Canapi (AL)";"166475"
"Capela (AL)";"247981"
"Carneiros (AL)";"90775"
"Chã Preta (AL)";"175471"
"Coité do Nóia (AL)";"211484"
"Colônia Leopoldina (AL)";"397369"
"Coqueiro Seco (AL)";"96036"
"Coruripe (AL)";"1782442"
"Craíbas (AL)";"480702"
"Delmiro Gouveia (AL)";"673800"
"Dois Riachos (AL)";"105248"
"Estrela de Alagoas (AL)";"154329"
"Feira Grande (AL)";"427545"
"Feliz Deserto (AL)";"164023"
"Flexeiras (AL)";"297765"
"Girau do Ponciano (AL)";"549523"
"Ibateguara (AL)";"196463"
"Igaci (AL)";"311914"
"Igreja Nova (AL)";"571817"
"Inhapi (AL)";"174741"
"Jacaré dos Homens (AL)";"74940"
"Jacuípe (AL)";"194514"
"Japaratinga (AL)";"251980"
"Jaramataia (AL)";"77882"
"Jequiá da Praia (AL)";"381989"
"Joaquim Gomes (AL)";"520955"
"Jundiá (AL)";"54787"
"Junqueiro (AL)";"550024"
"Lagoa da Canoa (AL)";"273016"
"Limoeiro de Anadia (AL)";"685127"
"Maceió (AL)";"27484016"
"Major Isidoro (AL)";"283425"
"Maragogi (AL)";"1118831"
"Maravilha (AL)";"90740"
"Marechal Deodoro (AL)";"3409483"
"Maribondo (AL)";"187982"
"Mar Vermelho (AL)";"50940"
"Mata Grande (AL)";"354594"
"Matriz de Camaragibe (AL)";"385866"
"Messias (AL)";"221090"
"Minador do Negrão (AL)";"74500"
"Monteirópolis (AL)";"80981"
"Murici (AL)";"588108"
"Novo Lino (AL)";"187226"
"Olho d'Água das Flores (AL)";"271775"
"Olho d'Água do Casado (AL)";"92933"
"Olho d'Água Grande (AL)";"69586"
"Olivença (AL)";"108843"
"Ouro Branco (AL)";"110449"
"Palestina (AL)";"45911"
"Palmeira dos Índios (AL)";"1181478"
"Pão de Açúcar (AL)";"266596"
"Pariconha (AL)";"144982"
"Paripueira (AL)";"236804"
"Passo de Camaragibe (AL)";"337319"
"Paulo Jacinto (AL)";"109870"
"Penedo (AL)";"983851"
"Piaçabuçu (AL)";"458381"
"Pilar (AL)";"676106"
"Pindoba (AL)";"59434"
"Piranhas (AL)";"344018"
"Poço das Trincheiras (AL)";"125601"
"Porto Calvo (AL)";"412849"
"Porto de Pedras (AL)";"333198"
"Porto Real do Colégio (AL)";"268867"
"Quebrangulo (AL)";"189051"
"Rio Largo (AL)";"1422909"
"Roteiro (AL)";"204122"
"Santa Luzia do Norte (AL)";"277385"
"Santana do Ipanema (AL)";"646282"
"Santana do Mundaú (AL)";"1408563"
"São Brás (AL)";"129322"
"São José da Laje (AL)";"587965"
"São José da Tapera (AL)";"332789"
"São Luís do Quitunde (AL)";"943656"
"São Miguel dos Campos (AL)";"1372933"
"São Miguel dos Milagres (AL)";"243468"
"São Sebastião (AL)";"858796"
"Satuba (AL)";"260967"
"Senador Rui Palmeira (AL)";"121169"
"Tanque d'Arca (AL)";"92156"
"Taquarana (AL)";"510804"
"Teotônio Vilela (AL)";"1357674"
"Traipu (AL)";"296950"
"União dos Palmares (AL)";"1416031"
"Viçosa (AL)";"594121"
"Amparo do São Francisco (SE)";"37967"
"Aquidabã (SE)";"287874"
"Aracaju (SE)";"18405678"
"Arauá (SE)";"140122"
"Areia Branca (SE)";"252263"
"Barra dos Coqueiros (SE)";"2581592"
"Boquim (SE)";"333080"
"Brejo Grande (SE)";"95886"
"Campo do Brito (SE)";"237677"
"Canhoba (SE)";"84436"
"Canindé de São Francisco (SE)";"2895222"
"Capela (SE)";"385290"
"Carira (SE)";"379818"
"Carmópolis (SE)";"422601"
"Cedro de São João (SE)";"64293"
"Cristinápolis (SE)";"250777"
"Cumbe (SE)";"69489"
"Divina Pastora (SE)";"188619"
"Estância (SE)";"2126563"
"Feira Nova (SE)";"114918"
"Frei Paulo (SE)";"324741"
"Gararu (SE)";"179511"
"General Maynard (SE)";"43532"
"Gracho Cardoso (SE)";"100982"
"Ilha das Flores (SE)";"101815"
"Indiaroba (SE)";"229670"
"Itabaiana (SE)";"2213275"
"Itabaianinha (SE)";"535797"
"Itabi (SE)";"81127"
"Itaporanga d'Ajuda (SE)";"880245"
"Japaratuba (SE)";"527939"
"Japoatã (SE)";"210654"
"Lagarto (SE)";"1798319"
"Laranjeiras (SE)";"1162007"
"Macambira (SE)";"89535"
"Malhada dos Bois (SE)";"52760"
"Malhador (SE)";"173218"
"Maruim (SE)";"448414"
"Moita Bonita (SE)";"206468"
"Monte Alegre de Sergipe (SE)";"218953"
"Muribeca (SE)";"96660"
"Neópolis (SE)";"330966"
"Nossa Senhora Aparecida (SE)";"109900"
"Nossa Senhora da Glória (SE)";"790790"
"Nossa Senhora das Dores (SE)";"415736"
"Nossa Senhora de Lourdes (SE)";"91165"
"Nossa Senhora do Socorro (SE)";"3232698"
"Pacatuba (SE)";"236643"
"Pedra Mole (SE)";"48012"
"Pedrinhas (SE)";"98936"
"Pinhão (SE)";"91574"
"Pirambu (SE)";"137922"
"Poço Redondo (SE)";"416245"
"Poço Verde (SE)";"322302"
"Porto da Folha (SE)";"366553"
"Propriá (SE)";"554299"
"Riachão do Dantas (SE)";"328904"
"Riachuelo (SE)";"222401"
"Ribeirópolis (SE)";"339443"
"Rosário do Catete (SE)";"468956"
"Salgado (SE)";"217519"
"Santa Luzia do Itanhy (SE)";"192690"
"Santana do São Francisco (SE)";"106773"
"Santa Rosa de Lima (SE)";"55084"
"Santo Amaro das Brotas (SE)";"167665"
"São Cristóvão (SE)";"1031740"
"São Domingos (SE)";"135227"
"São Francisco (SE)";"56034"
"São Miguel do Aleixo (SE)";"49842"
"Simão Dias (SE)";"790408"
"Siriri (SE)";"176736"
"Telha (SE)";"44121"
"Tobias Barreto (SE)";"655791"
"Tomar do Geru (SE)";"146965"
"Umbaúba (SE)";"401569"
"Abaíra (BA)";"70195"
"Abaré (BA)";"208558"
"Acajutiba (BA)";"144529"
"Adustina (BA)";"240690"
"Água Fria (BA)";"158468"
"Érico Cardoso (BA)";"78063"
"Aiquara (BA)";"53718"
"Alagoinhas (BA)";"4532743"
"Alcobaça (BA)";"347478"
"Almadina (BA)";"62876"
"Amargosa (BA)";"463881"
"Amélia Rodrigues (BA)";"437584"
"América Dourada (BA)";"167946"
"Anagé (BA)";"224877"
"Andaraí (BA)";"134558"
"Andorinha (BA)";"223452"
"Angical (BA)";"190448"
"Anguera (BA)";"78758"
"Antas (BA)";"160798"
"Antônio Cardoso (BA)";"124218"
"Antônio Gonçalves (BA)";"82702"
"Aporá (BA)";"148644"
"Apuarema (BA)";"74300"
"Aracatu (BA)";"145739"
"Araçás (BA)";"299165"
"Araci (BA)";"491399"
"Aramari (BA)";"103771"
"Arataca (BA)";"101501"
"Aratuípe (BA)";"79976"
"Aurelino Leal (BA)";"137001"
"Baianópolis (BA)";"263823"
"Baixa Grande (BA)";"194657"
"Banzaê (BA)";"113597"
"Barra (BA)";"430649"
"Barra da Estiva (BA)";"377673"
"Barra do Choça (BA)";"573526"
"Barra do Mendes (BA)";"115910"
"Barra do Rocha (BA)";"77901"
"Barreiras (BA)";"7006121"
"Barro Alto (BA)";"112884"
"Barrocas (BA)";"346146"
"Barro Preto (BA)";"79914"
"Belmonte (BA)";"373714"
"Belo Campo (BA)";"169601"
"Biritinga (BA)";"145438"
"Boa Nova (BA)";"111607"
"Boa Vista do Tupim (BA)";"155317"
"Bom Jesus da Lapa (BA)";"1357879"
"Bom Jesus da Serra (BA)";"69959"
"Boninal (BA)";"117992"
"Bonito (BA)";"270741"
"Boquira (BA)";"189091"
"Botuporã (BA)";"110038"
"Brejões (BA)";"144331"
"Brejolândia (BA)";"126261"
"Brotas de Macaúbas (BA)";"96549"
"Brumado (BA)";"1783351"
"Buerarema (BA)";"208933"
"Buritirama (BA)";"154989"
"Caatiba (BA)";"77401"
"Cabaceiras do Paraguaçu (BA)";"141199"
"Cachoeira (BA)";"479279"
"Caculé (BA)";"364286"
"Caém (BA)";"92294"
"Caetanos (BA)";"102571"
"Caetité (BA)";"1098650"
"Cafarnaum (BA)";"217397"
"Cairu (BA)";"1505542"
"Caldeirão Grande (BA)";"101982"
"Camacan (BA)";"354422"
"Camaçari (BA)";"33971705"
"Camamu (BA)";"468403"
"Campo Alegre de Lourdes (BA)";"295491"
"Campo Formoso (BA)";"2072637"
"Canápolis (BA)";"84960"
"Canarana (BA)";"258822"
"Canavieiras (BA)";"395602"
"Candeal (BA)";"67793"
"Candeias (BA)";"6819267"
"Candiba (BA)";"140828"
"Cândido Sales (BA)";"244706"
"Cansanção (BA)";"352801"
"Canudos (BA)";"153151"
"Capela do Alto Alegre (BA)";"129534"
"Capim Grosso (BA)";"579808"
"Caraíbas (BA)";"86202"
"Caravelas (BA)";"357882"
"Cardeal da Silva (BA)";"117727"
"Carinhanha (BA)";"288562"
"Casa Nova (BA)";"875278"
"Castro Alves (BA)";"317241"
"Catolândia (BA)";"80901"
"Catu (BA)";"695391"
"Caturama (BA)";"78262"
"Central (BA)";"154525"
"Chorrochó (BA)";"105494"
"Cícero Dantas (BA)";"400073"
"Cipó (BA)";"155394"
"Coaraci (BA)";"191076"
"Cocos (BA)";"559871"
"Conceição da Feira (BA)";"376055"
"Conceição do Almeida (BA)";"200262"
"Conceição do Coité (BA)";"884633"
"Conceição do Jacuípe (BA)";"2761128"
"Conde (BA)";"288929"
"Condeúba (BA)";"171066"
"Contendas do Sincorá (BA)";"50778"
"Coração de Maria (BA)";"226366"
"Cordeiros (BA)";"70770"
"Coribe (BA)";"169096"
"Coronel João Sá (BA)";"175256"
"Correntina (BA)";"3280079"
"Cotegipe (BA)";"171353"
"Cravolândia (BA)";"45909"
"Crisópolis (BA)";"206124"
"Cristópolis (BA)";"157843"
"Cruz das Almas (BA)";"1042406"
"Curaçá (BA)";"355221"
"Dário Meira (BA)";"126141"
"Dias d'Ávila (BA)";"3050432"
"Dom Basílio (BA)";"142303"
"Dom Macedo Costa (BA)";"43212"
"Elísio Medrado (BA)";"76733"
"Encruzilhada (BA)";"256185"
"Entre Rios (BA)";"681650"
"Esplanada (BA)";"731909"
"Euclides da Cunha (BA)";"795415"
"Eunápolis (BA)";"3203016"
"Fátima (BA)";"280112"
"Feira da Mata (BA)";"63085"
"Feira de Santana (BA)";"17282198"
"Filadélfia (BA)";"139371"
"Firmino Alves (BA)";"70867"
"Floresta Azul (BA)";"101546"
"Formosa do Rio Preto (BA)";"4608377"
"Gandu (BA)";"461233"
"Gavião (BA)";"49919"
"Gentio do Ouro (BA)";"133459"
"Glória (BA)";"254127"
"Gongogi (BA)";"76467"
"Governador Mangabeira (BA)";"221997"
"Guajeru (BA)";"68686"
"Guanambi (BA)";"1654710"
"Guaratinga (BA)";"279481"
"Heliópolis (BA)";"140665"
"Iaçu (BA)";"237150"
"Ibiassucê (BA)";"98956"
"Ibicaraí (BA)";"206801"
"Ibicoara (BA)";"443354"
"Ibicuí (BA)";"196349"
"Ibipeba (BA)";"177793"
"Ibipitanga (BA)";"117480"
"Ibiquera (BA)";"37334"
"Ibirapitanga (BA)";"285846"
"Ibirapuã (BA)";"450707"
"Ibirataia (BA)";"207383"
"Ibitiara (BA)";"113705"
"Ibititá (BA)";"155482"
"Ibotirama (BA)";"415583"
"Ichu (BA)";"56391"
"Igaporã (BA)";"198335"
"Igrapiúna (BA)";"211145"
"Iguaí (BA)";"246443"
"Ilhéus (BA)";"5163623"
"Inhambupe (BA)";"625799"
"Ipecaetá (BA)";"105153"
"Ipiaú (BA)";"568817"
"Ipirá (BA)";"664915"
"Ipupiara (BA)";"100551"
"Irajuba (BA)";"77979"
"Iramaia (BA)";"102698"
"Iraquara (BA)";"897366"
"Irará (BA)";"286137"
"Irecê (BA)";"1532414"
"Itabela (BA)";"514441"
"Itaberaba (BA)";"996855"
"Itabuna (BA)";"4200814"
"Itacaré (BA)";"426484"
"Itaeté (BA)";"126762"
"Itagi (BA)";"128626"
"Itagibá (BA)";"1103084"
"Itagimirim (BA)";"127457"
"Itaguaçu da Bahia (BA)";"152685"
"Itaju do Colônia (BA)";"89528"
"Itajuípe (BA)";"255563"
"Itamaraju (BA)";"1111051"
"Itamari (BA)";"103382"
"Itambé (BA)";"294796"
"Itanagra (BA)";"81912"
"Itanhém (BA)";"293786"
"Itaparica (BA)";"246957"
"Itapé (BA)";"106489"
"Itapebi (BA)";"335646"
"Itapetinga (BA)";"1467062"
"Itapicuru (BA)";"439107"
"Itapitanga (BA)";"94689"
"Itaquara (BA)";"100737"
"Itarantim (BA)";"331171"
"Itatim (BA)";"430100"
"Itiruçu (BA)";"120734"
"Itiúba (BA)";"351714"
"Itororó (BA)";"251064"
"Ituaçu (BA)";"256803"
"Ituberá (BA)";"367659"
"Iuiu (BA)";"133416"
"Jaborandi (BA)";"1344197"
"Jacaraci (BA)";"122925"
"Jacobina (BA)";"1867866"
"Jaguaquara (BA)";"678165"
"Jaguarari (BA)";"1198205"
"Jaguaripe (BA)";"206756"
"Jandaíra (BA)";"168215"
"Jequié (BA)";"3176446"
"Jeremoabo (BA)";"501339"
"Jiquiriçá (BA)";"150341"
"Jitaúna (BA)";"175604"
"João Dourado (BA)";"297143"
"Juazeiro (BA)";"5181529"
"Jucuruçu (BA)";"127679"
"Jussara (BA)";"113638"
"Jussari (BA)";"71486"
"Jussiape (BA)";"68737"
"Lafaiete Coutinho (BA)";"55267"
"Lagoa Real (BA)";"119609"
"Laje (BA)";"292402"
"Lajedão (BA)";"113008"
"Lajedinho (BA)";"60886"
"Lajedo do Tabocal (BA)";"78352"
"Lamarão (BA)";"65028"
"Lapão (BA)";"302371"
"Lauro de Freitas (BA)";"7322778"
"Lençóis (BA)";"169645"
"Licínio de Almeida (BA)";"157521"
"Livramento de Nossa Senhora (BA)";"575720"
"Luís Eduardo Magalhães (BA)";"8820648"
"Macajuba (BA)";"90789"
"Macarani (BA)";"227125"
"Macaúbas (BA)";"431374"
"Macururé (BA)";"67535"
"Madre de Deus (BA)";"515514"
"Maetinga (BA)";"50121"
"Maiquinique (BA)";"204931"
"Mairi (BA)";"158813"
"Malhada (BA)";"188065"
"Malhada de Pedras (BA)";"80639"
"Manoel Vitorino (BA)";"139859"
"Mansidão (BA)";"93688"
"Maracás (BA)";"656427"
"Maragogipe (BA)";"402859"
"Maraú (BA)";"341379"
"Marcionílio Souza (BA)";"94412"
"Mascote (BA)";"161497"
"Mata de São João (BA)";"1328755"
"Matina (BA)";"91738"
"Medeiros Neto (BA)";"514679"
"Miguel Calmon (BA)";"273161"
"Milagres (BA)";"144015"
"Mirangaba (BA)";"141427"
"Mirante (BA)";"78632"
"Monte Santo (BA)";"460032"
"Morpará (BA)";"78667"
"Morro do Chapéu (BA)";"625934"
"Mortugaba (BA)";"106818"
"Mucugê (BA)";"774940"
"Mucuri (BA)";"2212818"
"Mulungu do Morro (BA)";"212902"
"Mundo Novo (BA)";"199233"
"Muniz Ferreira (BA)";"66810"
"Muquém do São Francisco (BA)";"210290"
"Muritiba (BA)";"276778"
"Mutuípe (BA)";"471382"
"Nazaré (BA)";"330753"
"Nilo Peçanha (BA)";"185997"
"Nordestina (BA)";"160863"
"Nova Canaã (BA)";"174263"
"Nova Fátima (BA)";"95198"
"Nova Ibiá (BA)";"101681"
"Nova Itarana (BA)";"73287"
"Nova Redenção (BA)";"75597"
"Nova Soure (BA)";"271743"
"Nova Viçosa (BA)";"576012"
"Novo Horizonte (BA)";"105235"
"Novo Triunfo (BA)";"103932"
"Olindina (BA)";"242182"
"Oliveira dos Brejinhos (BA)";"291928"
"Ouriçangas (BA)";"80644"
"Ourolândia (BA)";"280185"
"Palmas de Monte Alto (BA)";"238177"
"Palmeiras (BA)";"107785"
"Paramirim (BA)";"270933"
"Paratinga (BA)";"260593"
"Paripiranga (BA)";"454635"
"Pau Brasil (BA)";"105727"
"Paulo Afonso (BA)";"3965326"
"Pé de Serra (BA)";"131455"
"Pedrão (BA)";"52275"
"Pedro Alexandre (BA)";"119313"
"Piatã (BA)";"242783"
"Pilão Arcado (BA)";"291383"
"Pindaí (BA)";"296543"
"Pindobaçu (BA)";"157115"
"Pintadas (BA)";"109340"
"Piraí do Norte (BA)";"117016"
"Piripá (BA)";"79408"
"Piritiba (BA)";"187904"
"Planaltino (BA)";"79205"
"Planalto (BA)";"309885"
"Poções (BA)";"573506"
"Pojuca (BA)";"1843465"
"Ponto Novo (BA)";"142630"
"Porto Seguro (BA)";"3767887"
"Potiraguá (BA)";"114973"
"Prado (BA)";"624631"
"Presidente Dutra (BA)";"132177"
"Presidente Jânio Quadros (BA)";"100403"
"Presidente Tancredo Neves (BA)";"338356"
"Queimadas (BA)";"257882"
"Quijingue (BA)";"227798"
"Quixabeira (BA)";"77083"
"Rafael Jambeiro (BA)";"396182"
"Remanso (BA)";"486810"
"Retirolândia (BA)";"149912"
"Riachão das Neves (BA)";"1539603"
"Riachão do Jacuípe (BA)";"410347"
"Riacho de Santana (BA)";"317672"
"Ribeira do Amparo (BA)";"192342"
"Ribeira do Pombal (BA)";"716571"
"Ribeirão do Largo (BA)";"111017"
"Rio de Contas (BA)";"155934"
"Rio do Antônio (BA)";"115695"
"Rio do Pires (BA)";"100423"
"Rio Real (BA)";"1031585"
"Rodelas (BA)";"143553"
"Ruy Barbosa (BA)";"392811"
"Salinas da Margarida (BA)";"201393"
"Salvador (BA)";"62954487"
"Santa Bárbara (BA)";"180576"
"Santa Brígida (BA)";"119330"
"Santa Cruz Cabrália (BA)";"548442"
"Santa Cruz da Vitória (BA)";"71181"
"Santa Inês (BA)";"76184"
"Santaluz (BA)";"522258"
"Santa Luzia (BA)";"124294"
"Santa Maria da Vitória (BA)";"600557"
"Santana (BA)";"344033"
"Santanópolis (BA)";"68861"
"Santa Rita de Cássia (BA)";"286079"
"Santa Terezinha (BA)";"101418"
"Santo Amaro (BA)";"1137909"
"Santo Antônio de Jesus (BA)";"2450763"
"Santo Estêvão (BA)";"914071"
"São Desidério (BA)";"5845432"
"São Domingos (BA)";"88481"
"São Félix (BA)";"172907"
"São Félix do Coribe (BA)";"238411"
"São Felipe (BA)";"212344"
"São Francisco do Conde (BA)";"13086121"
"São Gabriel (BA)";"152905"
"São Gonçalo dos Campos (BA)";"1155355"
"São José da Vitória (BA)";"67085"
"São José do Jacuípe (BA)";"126708"
"São Miguel das Matas (BA)";"176536"
"São Sebastião do Passé (BA)";"850111"
"Sapeaçu (BA)";"213356"
"Sátiro Dias (BA)";"257850"
"Saubara (BA)";"146345"
"Saúde (BA)";"103098"
"Seabra (BA)";"625789"
"Sebastião Laranjeiras (BA)";"107243"
"Senhor do Bonfim (BA)";"998686"
"Serra do Ramalho (BA)";"411522"
"Sento Sé (BA)";"1714786"
"Serra Dourada (BA)";"200071"
"Serra Preta (BA)";"138135"
"Serrinha (BA)";"1086778"
"Serrolândia (BA)";"118466"
"Simões Filho (BA)";"6334359"
"Sítio do Mato (BA)";"119993"
"Sítio do Quinto (BA)";"103331"
"Sobradinho (BA)";"843210"
"Souto Soares (BA)";"135994"
"Tabocas do Brejo Velho (BA)";"268317"
"Tanhaçu (BA)";"253394"
"Tanque Novo (BA)";"182934"
"Tanquinho (BA)";"66686"
"Taperoá (BA)";"221755"
"Tapiramutá (BA)";"148893"
"Teixeira de Freitas (BA)";"2875867"
"Teodoro Sampaio (BA)";"177355"
"Teofilândia (BA)";"191165"
"Teolândia (BA)";"216766"
"Terra Nova (BA)";"170404"
"Tremedal (BA)";"133737"
"Tucano (BA)";"544966"
"Uauá (BA)";"235072"
"Ubaíra (BA)";"229271"
"Ubaitaba (BA)";"244969"
"Ubatã (BA)";"223942"
"Uibaí (BA)";"175893"
"Umburanas (BA)";"262961"
"Una (BA)";"336909"
"Urandi (BA)";"199853"
"Uruçuca (BA)";"296049"
"Utinga (BA)";"185966"
"Valença (BA)";"1740635"
"Valente (BA)";"268908"
"Várzea da Roça (BA)";"112201"
"Várzea do Poço (BA)";"116187"
"Várzea Nova (BA)";"231908"
"Varzedo (BA)";"135267"
"Vera Cruz (BA)";"602735"
"Vereda (BA)";"92715"
"Vitória da Conquista (BA)";"8215793"
"Wagner (BA)";"89606"
"Wanderley (BA)";"167757"
"Wenceslau Guimarães (BA)";"331642"
"Xique-Xique (BA)";"461160"
"Abadia dos Dourados (MG)";"176774"
"Abaeté (MG)";"541239"
"Abre Campo (MG)";"262687"
"Acaiaca (MG)";"64907"
"Açucena (MG)";"165824"
"Água Boa (MG)";"192074"
"Água Comprida (MG)";"229831"
"Aguanil (MG)";"94615"
"Águas Formosas (MG)";"287599"
"Águas Vermelhas (MG)";"236649"
"Aimorés (MG)";"638010"
"Aiuruoca (MG)";"128549"
"Alagoa (MG)";"47717"
"Albertina (MG)";"153961"
"Além Paraíba (MG)";"971810"
"Alfenas (MG)";"3485867"
"Alfredo Vasconcelos (MG)";"150663"
"Almenara (MG)";"674900"
"Alpercata (MG)";"94597"
"Alpinópolis (MG)";"524218"
"Alterosa (MG)";"296525"
"Alto Caparaó (MG)";"97111"
"Alto Rio Doce (MG)";"180132"
"Alvarenga (MG)";"54648"
"Alvinópolis (MG)";"340215"
"Alvorada de Minas (MG)";"64855"
"Amparo do Serra (MG)";"55926"
"Andradas (MG)";"1183812"
"Cachoeira de Pajeú (MG)";"125598"
"Andrelândia (MG)";"291937"
"Angelândia (MG)";"144541"
"Antônio Carlos (MG)";"241904"
"Antônio Dias (MG)";"894624"
"Antônio Prado de Minas (MG)";"28571"
"Araçaí (MG)";"59998"
"Aracitaba (MG)";"31362"
"Araçuaí (MG)";"520019"
"Araguari (MG)";"5837823"
"Arantina (MG)";"88542"
"Araponga (MG)";"122296"
"Araporã (MG)";"1294616"
"Arapuá (MG)";"172816"
"Araújos (MG)";"474337"
"Araxá (MG)";"8950863"
"Arceburgo (MG)";"346704"
"Arcos (MG)";"2346520"
"Areado (MG)";"309348"
"Argirita (MG)";"40092"
"Aricanduva (MG)";"67084"
"Arinos (MG)";"318620"
"Astolfo Dutra (MG)";"292035"
"Ataléia (MG)";"199016"
"Augusto de Lima (MG)";"89041"
"Baependi (MG)";"381042"
"Baldim (MG)";"201277"
"Bambuí (MG)";"780013"
"Bandeira (MG)";"59116"
"Bandeira do Sul (MG)";"86583"
"Barão de Cocais (MG)";"2439013"
"Barão de Monte Alto (MG)";"63115"
"Barbacena (MG)";"3523135"
"Barra Longa (MG)";"81927"
"Barroso (MG)";"608921"
"Bela Vista de Minas (MG)";"568260"
"Belmiro Braga (MG)";"61571"
"Belo Horizonte (MG)";"105829675"
"Belo Oriente (MG)";"2114722"
"Belo Vale (MG)";"279906"
"Berilo (MG)";"112832"
"Bertópolis (MG)";"53792"
"Berizal (MG)";"61026"
"Betim (MG)";"33132919"
"Bias Fortes (MG)";"41578"
"Bicas (MG)";"277609"
"Biquinhas (MG)";"64479"
"Boa Esperança (MG)";"1058550"
"Bocaina de Minas (MG)";"80221"
"Bocaiúva (MG)";"1225284"
"Bom Despacho (MG)";"1814096"
"Bom Jardim de Minas (MG)";"127774"
"Bom Jesus da Penha (MG)";"196096"
"Bom Jesus do Amparo (MG)";"160334"
"Bom Jesus do Galho (MG)";"171128"
"Bom Repouso (MG)";"160232"
"Bom Sucesso (MG)";"445078"
"Bonfim (MG)";"135482"
"Bonfinópolis de Minas (MG)";"458719"
"Bonito de Minas (MG)";"101039"
"Borda da Mata (MG)";"374865"
"Botelhos (MG)";"325926"
"Botumirim (MG)";"75753"
"Brasilândia de Minas (MG)";"415095"
"Brasília de Minas (MG)";"377425"
"Brás Pires (MG)";"50032"
"Braúnas (MG)";"213084"
"Brazópolis (MG)";"198032"
"Brumadinho (MG)";"4624938"
"Bueno Brandão (MG)";"240738"
"Buenópolis (MG)";"180725"
