"Município";"Pib"
"São João da Ponta (PA)";"57407"
"São João de Pirabas (PA)";"182168"
"São João do Araguaia (PA)";"186890"
"São Miguel do Guamá (PA)";"793139"
"São Sebastião da Boa Vista (PA)";"245028"
"Sapucaia (PA)";"141176"
"Senador José Porfírio (PA)";"246281"
"Soure (PA)";"241803"
"Tailândia (PA)";"1291722"
"Terra Alta (PA)";"83046"
"Terra Santa (PA)";"519541"
"Tomé-Açu (PA)";"1040635"
"Tracuateua (PA)";"285330"
"Trairão (PA)";"327523"
"Tucumã (PA)";"984423"
"Tucuruí (PA)";"5614501"
"Ulianópolis (PA)";"1995884"
"Uruará (PA)";"774530"
"Vigia (PA)";"476787"
"Viseu (PA)";"618568"
"Vitória do Xingu (PA)";"4230778"
"Xinguara (PA)";"1605020"
"Serra do Navio (AP)";"92155"
"Amapá (AP)";"159543"
"Pedra Branca do Amapari (AP)";"453324"
"Calçoene (AP)";"184496"
"Cutias (AP)";"94625"
"Ferreira Gomes (AP)";"578381"
"Itaubal (AP)";"87891"
"Laranjal do Jari (AP)";"1134587"
"Macapá (AP)";"12938060"
"Mazagão (AP)";"377734"
"Oiapoque (AP)";"528919"
"Porto Grande (AP)";"373966"
"Pracuúba (AP)";"84589"
"Santana (AP)";"2512717"
"Tartarugalzinho (AP)";"261938"
"Vitória do Jari (AP)";"236925"
"Abreulândia (TO)";"112135"
"Aguiarnópolis (TO)";"165480"
"Aliança do Tocantins (TO)";"616571"
"Almas (TO)";"273741"
"Alvorada (TO)";"474111"
"Ananás (TO)";"159769"
"Angico (TO)";"48276"
"Aparecida do Rio Negro (TO)";"255912"
"Aragominas (TO)";"98441"
"Araguacema (TO)";"240246"
"Araguaçu (TO)";"349050"
"Araguaína (TO)";"5239050"
"Araguanã (TO)";"101858"
"Araguatins (TO)";"529290"
"Arapoema (TO)";"324523"
"Arraias (TO)";"223310"
"Augustinópolis (TO)";"305118"
"Aurora do Tocantins (TO)";"58806"
"Axixá do Tocantins (TO)";"141092"
"Babaçulândia (TO)";"158741"
"Bandeirantes do Tocantins (TO)";"178654"
"Barra do Ouro (TO)";"113260"
"Barrolândia (TO)";"122016"
"Bernardo Sayão (TO)";"102684"
"Bom Jesus do Tocantins (TO)";"139410"
"Brasilândia do Tocantins (TO)";"75634"
"Brejinho de Nazaré (TO)";"272945"
"Buriti do Tocantins (TO)";"161641"
"Cachoeirinha (TO)";"58547"
"Campos Lindos (TO)";"1004931"
"Cariri do Tocantins (TO)";"517715"
"Carmolândia (TO)";"69222"
"Carrasco Bonito (TO)";"50561"
"Caseara (TO)";"389493"
"Centenário (TO)";"64557"
"Chapada de Areia (TO)";"39824"
"Chapada da Natividade (TO)";"148973"
"Colinas do Tocantins (TO)";"862139"
"Combinado (TO)";"76524"
"Conceição do Tocantins (TO)";"67829"
"Couto Magalhães (TO)";"203473"
"Cristalândia (TO)";"177294"
"Crixás do Tocantins (TO)";"78645"
"Darcinópolis (TO)";"241932"
"Dianópolis (TO)";"644829"
"Divinópolis do Tocantins (TO)";"249235"
"Dois Irmãos do Tocantins (TO)";"216149"
"Dueré (TO)";"204765"
"Esperantina (TO)";"118724"
"Fátima (TO)";"89100"
"Figueirópolis (TO)";"256752"
"Filadélfia (TO)";"129323"
"Formoso do Araguaia (TO)";"1414038"
"Tabocão (TO)";"232898"
"Goianorte (TO)";"193502"
"Goiatins (TO)";"230924"
"Guaraí (TO)";"880403"
"Gurupi (TO)";"2648420"
"Ipueiras (TO)";"47772"
"Itacajá (TO)";"186260"
"Itaguatins (TO)";"82611"
"Itapiratins (TO)";"171522"
"Itaporã do Tocantins (TO)";"69980"
"Jaú do Tocantins (TO)";"97865"
"Juarina (TO)";"44395"
"Lagoa da Confusão (TO)";"998445"
"Lagoa do Tocantins (TO)";"89429"
"Lajeado (TO)";"64405"
"Lavandeira (TO)";"37870"
"Lizarda (TO)";"66332"
"Luzinópolis (TO)";"71180"
"Marianópolis do Tocantins (TO)";"252331"
"Mateiros (TO)";"252360"
"Maurilândia do Tocantins (TO)";"55911"
"Miracema do Tocantins (TO)";"642003"
"Miranorte (TO)";"390325"
"Monte do Carmo (TO)";"296288"
"Monte Santo do Tocantins (TO)";"75004"
"Palmeiras do Tocantins (TO)";"95357"
"Muricilândia (TO)";"69465"
"Natividade (TO)";"247340"
"Nazaré (TO)";"58139"
"Nova Olinda (TO)";"320311"
"Nova Rosalândia (TO)";"100915"
"Novo Acordo (TO)";"84723"
"Novo Alegre (TO)";"35521"
"Novo Jardim (TO)";"42672"
"Oliveira de Fátima (TO)";"29469"
"Palmeirante (TO)";"185349"
"Palmeirópolis (TO)";"170118"
"Paraíso do Tocantins (TO)";"1513693"
"Paranã (TO)";"315397"
"Pau D'Arco (TO)";"91169"
"Pedro Afonso (TO)";"848671"
"Peixe (TO)";"733929"
"Pequizeiro (TO)";"107606"
"Colméia (TO)";"182796"
"Pindorama do Tocantins (TO)";"85006"
"Piraquê (TO)";"89940"
"Pium (TO)";"361915"
"Ponte Alta do Bom Jesus (TO)";"66158"
"Ponte Alta do Tocantins (TO)";"121170"
"Porto Alegre do Tocantins (TO)";"47043"
"Porto Nacional (TO)";"3649421"
"Praia Norte (TO)";"93139"
"Presidente Kennedy (TO)";"65165"
"Pugmil (TO)";"82663"
"Recursolândia (TO)";"91480"
"Riachinho (TO)";"68536"
