,Cidade,UF,Região,População,Pib
1761,MARANGUAPE,CE,Nordeste,105093.0,105093.0
1762,MARANHAOZINHO,MA,Nordeste,13761.0,13761.0
1763,MARATA,RS,Sul,2470.0,2470.0
1764,MARAU,RS,Sul,45124.0,45124.0
1765,MARAVILHA,SC,Sul,28251.0,28251.0
1766,MARAVILHAS,MG,Sudeste,7333.0,7333.0
1767,MARCACAO,PB,Nordeste,8999.0,8999.0
1768,MARCELINO RAMOS,RS,Sul,4320.0,4320.0
1769,MARCELINO VIEIRA,RN,Nordeste,7896.0,7896.0
1770,MARCO,CE,Nordeste,25799.0,25799.0
1771,MARCOLANDIA,PI,Nordeste,8533.0,8533.0
1772,MARCOS PARENTE,PI,Nordeste,4724.0,4724.0
1773,MARECHAL THAUMATURGO,AC,Norte,17093.0,17093.0
1774,MAREMA,SC,Sul,2184.0,2184.0
1775,MARIA DA FE,MG,Sudeste,14247.0,14247.0
1776,MARIANA,MG,Sudeste,61387.0,61387.0
1777,MARIANO MORO,RS,Sul,1858.0,1858.0
1778,MARIANOPOLIS DO TOCANTINS,TO,Norte,4615.0,4615.0
1779,MARIAPOLIS,SP,Sudeste,3513.0,3513.0
1780,MARIBONDO,AL,Nordeste,13679.0,13679.0
1781,MARILAC,MG,Sudeste,4224.0,4224.0
1782,MARILANDIA,ES,Sudeste,12387.0,12387.0
1783,MARINOPOLIS,SP,Sudeste,1860.0,1860.0
1784,MARIOPOLIS,PR,Sul,6371.0,6371.0
1785,MARIPA,PR,Sul,6555.0,6555.0
1786,MARIPA DE MINAS,MG,Sudeste,3387.0,3387.0
1787,MARIZOPOLIS,PB,Nordeste,6705.0,6705.0
1788,MARLIERIA,MG,Sudeste,4592.0,4592.0
1789,MARMELEIRO,PR,Sul,15901.0,15901.0
1790,MARMELOPOLIS,MG,Sudeste,3200.0,3200.0
1791,MARQUES DE SOUZA,RS,Sul,3969.0,3969.0
1792,MARQUINHO,PR,Sul,4504.0,4504.0
1793,MARTINHO CAMPOS,MG,Sudeste,14003.0,14003.0
1794,MARTINOPOLE,CE,Nordeste,10846.0,10846.0
1795,MARTINS SOARES,MG,Sudeste,8396.0,8396.0
1796,MARUIM,SE,Nordeste,15719.0,15719.0
1797,MARZAGAO,GO,Centro-Oeste,2758.0,2758.0
1798,MASCOTE,BA,Nordeste,13544.0,13544.0
1799,MASSAPE,CE,Nordeste,37697.0,37697.0
1800,MASSAPE DO PIAUI,PI,Nordeste,5218.0,5218.0
1801,MASSARANDUBA,PB,Nordeste,14139.0,14139.0
1802,MASSARANDUBA,SC,Sul,17162.0,17162.0
1803,MATA,RS,Sul,4698.0,4698.0
1804,MATA ROMA,MA,Nordeste,17090.0,17090.0
1805,MATARACA,PB,Nordeste,8244.0,8244.0
1806,MATEIROS,TO,Norte,2748.0,2748.0
1807,MATELANDIA,PR,Sul,18450.0,18450.0
1808,MATERLANDIA,MG,Sudeste,3963.0,3963.0
1809,MATEUS LEME,MG,Sudeste,37841.0,37841.0
1810,MATIAS CARDOSO,MG,Sudeste,8895.0,8895.0
1811,MATIAS OLIMPIO,PI,Nordeste,10641.0,10641.0
1812,MATINA,BA,Nordeste,10330.0,10330.0
1813,MATINHA,MA,Nordeste,22034.0,22034.0
1814,MATINHAS,PB,Nordeste,4571.0,4571.0
1815,MATIPO,MG,Sudeste,18552.0,18552.0
1816,MATO CASTELHANO,RS,Sul,2553.0,2553.0
1817,MATO GROSSO,PB,Nordeste,2543.0,2543.0
1818,MATO LEITAO,RS,Sul,4859.0,4859.0
1819,MATO QUEIMADO,RS,Sul,1795.0,1795.0
1820,MATO RICO,PR,Sul,3267.0,3267.0
1821,MATO VERDE,MG,Sudeste,12038.0,12038.0
1822,MATOES,MA,Nordeste,32174.0,32174.0
1823,MATOES DO NORTE,MA,Nordeste,17432.0,17432.0
1824,MATOS COSTA,SC,Sul,2761.0,2761.0
1825,MATOZINHOS,MG,Sudeste,37618.0,37618.0
1826,MATRINCHA,GO,Centro-Oeste,4042.0,4042.0
1827,MATRIZ DE CAMARAGIBE,AL,Nordeste,23857.0,23857.0
1828,MATUREIA,PB,Nordeste,6433.0,6433.0
1829,MATUTINA,MG,Sudeste,3814.0,3814.0
1830,MAUES,AM,Norte,61204.0,61204.0
1831,MAURILANDIA DO TOCANTINS,TO,Norte,3095.0,3095.0
1832,MAURITI,CE,Nordeste,45561.0,45561.0
1833,MAXARANGUAPE,RN,Nordeste,10255.0,10255.0
1834,MAXIMILIANO DE ALMEIDA,RS,Sul,4191.0,4191.0
1835,MAZAGAO,AP,Norte,21924.0,21924.0
1836,MEDEIROS,MG,Sudeste,3900.0,3900.0
1837,MELGACO,PA,Norte,27881.0,27881.0
1838,MENDES,RJ,Sudeste,17502.0,17502.0
1839,MERCEDES,PR,Sul,5931.0,5931.0
1840,MERUOCA,CE,Nordeste,15157.0,15157.0
1841,MESQUITA,MG,Sudeste,5040.0,5040.0
1842,MESSIAS,AL,Nordeste,15405.0,15405.0
1843,MESSIAS TARGINO,RN,Nordeste,4274.0,4274.0
1844,MIGUEL ALVES,PI,Nordeste,32150.0,32150.0
1845,MIGUEL LEAO,PI,Nordeste,1318.0,1318.0
1846,MIGUEL PEREIRA,RJ,Sudeste,26582.0,26582.0
1847,MILAGRES,BA,Nordeste,11071.0,11071.0
1848,MILAGRES DO MARANHAO,MA,Nordeste,8818.0,8818.0
1849,MILHA,CE,Nordeste,14123.0,14123.0
1850,MILTON BRANDAO,PI,Nordeste,6542.0,6542.0
1851,MINACU,GO,Centro-Oeste,27075.0,27075.0
1852,MINADOR DO NEGRAO,AL,Nordeste,4845.0,4845.0
1853,MINAS NOVAS,MG,Sudeste,24405.0,24405.0
1854,MINDURI,MG,Sudeste,3741.0,3741.0
1855,MINEIROS DO TIETE,SP,Sudeste,11230.0,11230.0
1856,MIRABELA,MG,Sudeste,13651.0,13651.0
1857,MIRACATU,SP,Sudeste,18553.0,18553.0
1858,MIRACEMA DO TOCANTINS,TO,Norte,18566.0,18566.0
1859,MIRADOR,PR,Sul,2238.0,2238.0
1860,MIRADOURO,MG,Sudeste,8968.0,8968.0
1861,MIRAI,MG,Sudeste,13633.0,13633.0
1862,MIRAIMA,CE,Nordeste,14196.0,14196.0
1863,MIRANDA DO NORTE,MA,Nordeste,23864.0,23864.0
1864,MIRANDIBA,PE,Nordeste,14166.0,14166.0
1865,MIRANTE,BA,Nordeste,10187.0,10187.0
1866,MIRANTE DO PARANAPANEMA,SP,Sudeste,15917.0,15917.0
1867,MIRASELVA,PR,Sul,1966.0,1966.0
1868,MIRASSOLANDIA,SP,Sudeste,4669.0,4669.0
1869,MIRAVANIA,MG,Sudeste,3985.0,3985.0
1870,MIRIM DOCE,SC,Sul,2511.0,2511.0
1871,MIRINZAL,MA,Nordeste,13978.0,13978.0
1872,MODELO,SC,Sul,4080.0,4080.0
1873,MOEDA,MG,Sudeste,5125.0,5125.0
1874,MOEMA,MG,Sudeste,7548.0,7548.0
1875,MOGEIRO,PB,Nordeste,13899.0,13899.0
1876,MOIPORA,GO,Centro-Oeste,1685.0,1685.0
1877,MOITA BONITA,SE,Nordeste,11050.0,11050.0
1878,MOJU,PA,Norte,84094.0,84094.0
1879,MOMBACA,CE,Nordeste,37735.0,37735.0
1880,MONCAO,MA,Nordeste,27751.0,27751.0
1881,MONCOES,SP,Sudeste,1937.0,1937.0
1882,MONDAI,SC,Sul,10066.0,10066.0
1883,MONJOLOS,MG,Sudeste,2169.0,2169.0
1884,MONSENHOR GIL,PI,Nordeste,10255.0,10255.0
1885,MONSENHOR HIPOLITO,PI,Nordeste,7577.0,7577.0
1886,MONSENHOR PAULO,MG,Sudeste,8340.0,8340.0
1887,MONSENHOR TABOSA,CE,Nordeste,17149.0,17149.0
1888,MONTADAS,PB,Nordeste,5812.0,5812.0
1889,MONTALVANIA,MG,Sudeste,14060.0,14060.0
1890,MONTANHAS,RN,Nordeste,11444.0,11444.0
1891,MONTAURI,RS,Sul,1499.0,1499.0
1892,MONTE ALEGRE,PA,Norte,60012.0,60012.0
1893,MONTE ALEGRE,RN,Nordeste,23031.0,23031.0
1894,MONTE ALEGRE DE GOIAS,GO,Centro-Oeste,6692.0,6692.0
1895,MONTE ALEGRE DE MINAS,MG,Sudeste,20170.0,20170.0
1896,MONTE ALEGRE DO PIAUI,PI,Nordeste,10660.0,10660.0
1897,MONTE ALEGRE DOS CAMPOS,RS,Sul,3180.0,3180.0
1898,MONTE AZUL,MG,Sudeste,20328.0,20328.0
1899,MONTE BELO DO SUL,RS,Sul,2557.0,2557.0
1900,MONTE CARLO,SC,Sul,9117.0,9117.0
1901,MONTE CASTELO,SP,Sudeste,4222.0,4222.0
1902,MONTE DAS GAMELEIRAS,RN,Nordeste,2276.0,2276.0
1903,MONTE DO CARMO,TO,Norte,5694.0,5694.0
1904,MONTE HOREBE,PB,Nordeste,4338.0,4338.0
1905,MONTE SANTO DE MINAS,MG,Sudeste,20890.0,20890.0
1906,MONTE SANTO DO TOCANTINS,TO,Norte,2396.0,2396.0
1907,MONTEIRO LOBATO,SP,Sudeste,4138.0,4138.0
1908,MONTEIROPOLIS,AL,Nordeste,7184.0,7184.0
1909,MONTES ALTOS,MA,Nordeste,9106.0,9106.0
1910,MONTEZUMA,MG,Sudeste,6888.0,6888.0
1911,MONTIVIDIU,GO,Centro-Oeste,12521.0,12521.0
1912,MONTIVIDIU DO NORTE,GO,Centro-Oeste,3779.0,3779.0
1913,MORADA NOVA,CE,Nordeste,61443.0,61443.0
1914,MORAUJO,CE,Nordeste,8254.0,8254.0
1915,MOREILANDIA,PE,Nordeste,10540.0,10540.0
1916,MORMACO,RS,Sul,2756.0,2756.0
1917,MORPARA,BA,Nordeste,7996.0,7996.0
1918,MORRETES,PR,Sul,18309.0,18309.0
1919,MORRINHOS,CE,Nordeste,22753.0,22753.0
1920,MORRINHOS DO SUL,RS,Sul,3071.0,3071.0
1921,MORRO AGUDO DE GOIAS,GO,Centro-Oeste,2456.0,2456.0
1922,MORRO CABECA NO TEMPO,PI,Nordeste,4377.0,4377.0
1923,MORRO DA FUMACA,SC,Sul,18537.0,18537.0
1924,MORRO DA GARCA,MG,Sudeste,2411.0,2411.0
1925,MORRO DO CHAPEU,BA,Nordeste,33594.0,33594.0
1926,MORRO DO CHAPEU DO PIAUI,PI,Nordeste,6425.0,6425.0
1927,MORRO DO PILAR,MG,Sudeste,3133.0,3133.0
1928,MORRO GRANDE,SC,Sul,3010.0,3010.0
1929,MORROS,MA,Nordeste,18554.0,18554.0
1930,MORTUGABA,BA,Nordeste,11143.0,11143.0
1931,MOSSAMEDES,GO,Centro-Oeste,4654.0,4654.0
1932,MUANA,PA,Norte,45368.0,45368.0
1933,MUCAJAI,RR,Norte,18095.0,18095.0
1934,MUCAMBO,CE,Nordeste,13666.0,13666.0
1935,MUCUM,RS,Sul,4601.0,4601.0
1936,MUITOS CAPOES,RS,Sul,2879.0,2879.0
1937,MULITERNO,RS,Sul,1721.0,1721.0
1938,MULUNGU,CE,Nordeste,10569.0,10569.0
1939,MULUNGU,PB,Nordeste,8791.0,8791.0
1940,MUNDO NOVO,BA,Nordeste,17305.0,17305.0
1941,MUNDO NOVO,GO,Centro-Oeste,6189.0,6189.0
1942,MUNHOZ DE MELO,PR,Sul,3951.0,3951.0
1943,MUNIZ FERREIRA,BA,Nordeste,7190.0,7190.0
1944,MUNIZ FREIRE,ES,Sudeste,18153.0,18153.0
1945,MURIBECA,SE,Nordeste,7822.0,7822.0
1946,MURICI,AL,Nordeste,25187.0,25187.0
1947,MURICI DOS PORTELAS,PI,Nordeste,9797.0,9797.0
1948,MURICILANDIA,TO,Norte,3367.0,3367.0
1949,MURUTINGA DO SUL,SP,Sudeste,3737.0,3737.0
1950,MUTUIPE,BA,Nordeste,20037.0,20037.0
1951,MUTUNOPOLIS,GO,Centro-Oeste,3564.0,3564.0
1952,NACIP RAYDAN,MG,Sudeste,2459.0,2459.0
1953,NANTES,SP,Sudeste,2660.0,2660.0
1954,NAQUE,MG,Sudeste,6303.0,6303.0
1955,NARANDIBA,SP,Sudeste,5713.0,5713.0
1956,NATALANDIA,MG,Sudeste,3520.0,3520.0
1957,NATERCIA,MG,Sudeste,4691.0,4691.0
1958,NATIVIDADE,RJ,Sudeste,15074.0,15074.0
1959,NATIVIDADE,TO,Norte,8754.0,8754.0
1960,NATIVIDADE DA SERRA,SP,Sudeste,6999.0,6999.0
1961,NATUBA,PB,Nordeste,8945.0,8945.0
1962,NAZARE,BA,Nordeste,27060.0,27060.0
1963,NAZARE,TO,Norte,4521.0,4521.0
1964,NAZARE DO PIAUI,PI,Nordeste,6665.0,6665.0
1965,NAZARE PAULISTA,SP,Sudeste,18217.0,18217.0
1966,NAZARENO,MG,Sudeste,8179.0,8179.0
1967,NAZAREZINHO,PB,Nordeste,7203.0,7203.0
1968,NAZARIA,PI,Nordeste,10262.0,10262.0
1969,NAZARIO,GO,Centro-Oeste,8189.0,8189.0
1970,NEROPOLIS,GO,Centro-Oeste,31932.0,31932.0
1971,NHAMUNDA,AM,Norte,20136.0,20136.0
1972,NICOLAU VERGUEIRO,RS,Sul,1932.0,1932.0
1973,NILO PECANHA,BA,Nordeste,12063.0,12063.0
1974,NIQUELANDIA,GO,Centro-Oeste,34964.0,34964.0
1975,NISIA FLORESTA,RN,Nordeste,31942.0,31942.0
1976,NORMANDIA,RR,Norte,13986.0,13986.0
1977,NOSSA SENHORA APARECIDA,SE,Nordeste,9232.0,9232.0
1978,NOSSA SENHORA DAS DORES,SE,Nordeste,24996.0,24996.0
1979,NOSSA SENHORA DE LOURDES,SE,Nordeste,6268.0,6268.0
1980,NOSSA SENHORA DE NAZARE,PI,Nordeste,5228.0,5228.0
1981,NOSSA SENHORA DOS REMEDIOS,PI,Nordeste,8525.0,8525.0
1982,NOVA ALIANCA DO IVAI,PR,Sul,1323.0,1323.0
1983,NOVA ALVORADA,RS,Sul,3163.0,3163.0
1984,NOVA AMERICA,GO,Centro-Oeste,2337.0,2337.0
1985,NOVA AMERICA DA COLINA,PR,Sul,3280.0,3280.0
1986,NOVA ARACA,RS,Sul,4954.0,4954.0
1987,NOVA AURORA,GO,Centro-Oeste,2101.0,2101.0
1988,NOVA BASSANO,RS,Sul,9649.0,9649.0
1989,NOVA BELEM,MG,Sudeste,3151.0,3151.0
1990,NOVA BOA VISTA,RS,Sul,2042.0,2042.0
1991,NOVA BRASILANDIA,MT,Centro-Oeste,3932.0,3932.0
1992,NOVA CAMPINA,SP,Sudeste,8497.0,8497.0
1993,NOVA CANAA,BA,Nordeste,13715.0,13715.0
1994,NOVA CANDELARIA,RS,Sul,3061.0,3061.0
1995,NOVA CANTU,PR,Sul,6790.0,6790.0
1996,NOVA CASTILHO,SP,Sudeste,1062.0,1062.0
1997,NOVA ERA,MG,Sudeste,17438.0,17438.0
1998,NOVA ERECHIM,SC,Sul,5155.0,5155.0
1999,NOVA ESPERANCA DO SUDOESTE,PR,Sul,5597.0,5597.0
2000,NOVA ESPERANCA DO SUL,RS,Sul,4865.0,4865.0
2001,NOVA FATIMA,PR,Sul,7225.0,7225.0
2002,NOVA FLORESTA,PB,Nordeste,9724.0,9724.0
2003,NOVA GLORIA,GO,Centro-Oeste,8310.0,8310.0
2004,NOVA GUATAPORANGA,SP,Sudeste,2156.0,2156.0
2005,NOVA IBIA,BA,Nordeste,6501.0,6501.0
2006,NOVA IORQUE,MA,Nordeste,4320.0,4320.0
2007,NOVA IPIXUNA,PA,Norte,13955.0,13955.0
2008,NOVA ITABERABA,SC,Sul,4536.0,4536.0
2009,NOVA ITARANA,BA,Nordeste,7780.0,7780.0
2010,NOVA LARANJEIRAS,PR,Sul,12074.0,12074.0
2011,NOVA LUZITANIA,SP,Sudeste,2837.0,2837.0
2012,NOVA MODICA,MG,Sudeste,3663.0,3663.0
2013,NOVA MONTE VERDE,MT,Centro-Oeste,8313.0,8313.0
2014,NOVA OLINDA,CE,Nordeste,15399.0,15399.0
2015,NOVA OLINDA,PB,Nordeste,5787.0,5787.0
2016,NOVA OLINDA,TO,Norte,10367.0,10367.0
2017,NOVA OLINDA DO MARANHAO,MA,Nordeste,14314.0,14314.0
2018,NOVA OLINDA DO NORTE,AM,Norte,27062.0,27062.0
2019,NOVA PADUA,RS,Sul,2343.0,2343.0
2020,NOVA PALMA,RS,Sul,5586.0,5586.0
2021,NOVA PALMEIRA,PB,Nordeste,4259.0,4259.0
2022,NOVA PETROPOLIS,RS,Sul,23300.0,23300.0
2023,NOVA PORTEIRINHA,MG,Sudeste,6706.0,6706.0
2024,NOVA PRATA DO IGUACU,PR,Sul,12699.0,12699.0
2025,NOVA RAMADA,RS,Sul,2163.0,2163.0
2026,NOVA REDENCAO,BA,Nordeste,7538.0,7538.0
2027,NOVA ROMA,GO,Centro-Oeste,3076.0,3076.0
2028,NOVA ROMA DO SUL,RS,Sul,3466.0,3466.0
2029,NOVA ROSALANDIA,TO,Norte,3362.0,3362.0
2030,NOVA SANTA RITA,PI,Nordeste,4076.0,4076.0
2031,NOVA SANTA ROSA,PR,Sul,8322.0,8322.0
2032,NOVA SOURE,BA,Nordeste,24236.0,24236.0
2033,NOVA TEBAS,PR,Sul,6848.0,6848.0
2034,NOVA TIMBOTEUA,PA,Norte,12806.0,12806.0
2035,NOVA TRENTO,SC,Sul,13727.0,13727.0
2036,NOVA UNIAO,MG,Sudeste,5909.0,5909.0
2037,NOVA VENEZA,GO,Centro-Oeste,9481.0,9481.0
2038,NOVO AIRAO,AM,Norte,15761.0,15761.0
2039,NOVO ALEGRE,TO,Norte,1846.0,1846.0
2040,NOVO ARIPUANA,AM,Norte,23818.0,23818.0
2041,NOVO BARREIRO,RS,Sul,4272.0,4272.0
2042,NOVO BRASIL,GO,Centro-Oeste,3527.0,3527.0
2043,NOVO CABRAIS,RS,Sul,3568.0,3568.0
2044,NOVO HORIZONTE,BA,Nordeste,11162.0,11162.0
2045,NOVO HORIZONTE,SC,Sul,2643.0,2643.0
2046,NOVO JARDIM,TO,Norte,2230.0,2230.0
2047,NOVO LINO,AL,Nordeste,10020.0,10020.0
2048,NOVO MACHADO,RS,Sul,3198.0,3198.0
2049,NOVO ORIENTE,CE,Nordeste,27545.0,27545.0
2050,NOVO ORIENTE DO PIAUI,PI,Nordeste,6097.0,6097.0
2051,NOVO PLANALTO,GO,Centro-Oeste,3716.0,3716.0
2052,NOVO REPARTIMENTO,PA,Norte,60732.0,60732.0
2053,NOVO SANTO ANTONIO,MT,Centro-Oeste,2015.0,2015.0
2054,NOVO SANTO ANTONIO,PI,Nordeste,2827.0,2827.0
2055,NOVO TIRADENTES,RS,Sul,2146.0,2146.0
2056,NOVO TRIUNFO,BA,Nordeste,10660.0,10660.0
2057,NOVO XINGU,RS,Sul,1646.0,1646.0
2058,NOVORIZONTE,MG,Sudeste,4571.0,4571.0
2059,OBIDOS,PA,Norte,52229.0,52229.0
2060,OCARA,CE,Nordeste,24493.0,24493.0
2061,OEIRAS DO PARA,PA,Norte,33844.0,33844.0
2062,OIAPOQUE,AP,Norte,27482.0,27482.0
2063,OLARIA,MG,Sudeste,1945.0,1945.0
2064,OLHO DAGUA DAS CUNHAS,MA,Nordeste,,
2065,OLHO DAGUA DAS FLORES,AL,Nordeste,,
2066,OLHO DAGUA DO BORGES,RN,Nordeste,,
2067,OLHO DAGUA DO PIAUI,PI,Nordeste,,
2068,OLHO DAGUA GRANDE,AL,Nordeste,,
2069,OLHOS,DAGUA - MG,Desconhecido,,
2070,OLIMPIO NORONHA,MG,Sudeste,2555.0,2555.0
2071,OLINDA NOVA DO MARANHAO,MA,Nordeste,13577.0,13577.0
2072,OLINDINA,BA,Nordeste,22633.0,22633.0
2073,OLIVEDOS,PB,Nordeste,3580.0,3580.0
2074,OLIVEIRA,MG,Sudeste,39262.0,39262.0
2075,OLIVEIRA DOS BREJINHOS,BA,Nordeste,20715.0,20715.0
2076,OLIVEIRA FORTES,MG,Sudeste,2027.0,2027.0
2077,ONCA DE PITANGUI,MG,Sudeste,2969.0,2969.0
2078,ORATORIOS,MG,Sudeste,4917.0,4917.0
2079,ORIENTE,SP,Sudeste,6085.0,6085.0
2080,ORIXIMINA,PA,Norte,68294.0,68294.0
2081,ORIZANIA,MG,Sudeste,8437.0,8437.0
2082,ORLEANS,SC,Sul,23661.0,23661.0
2083,OROBO,PE,Nordeste,21808.0,21808.0
2084,OROCO,PE,Nordeste,13613.0,13613.0
2085,OROS,CE,Nordeste,19675.0,19675.0
2086,OSCAR BRESSANE,SP,Sudeste,2470.0,2470.0
2087,OUREM,PA,Norte,17855.0,17855.0
2088,OURICANGAS,BA,Nordeste,7716.0,7716.0
2089,OURICURI,PE,Nordeste,65245.0,65245.0
2090,OURIZONA,PR,Sul,3187.0,3187.0
2091,OURO,SC,Sul,7032.0,7032.0
2092,OURO BRANCO,MG,Sudeste,38724.0,38724.0
2093,OURO BRANCO,RN,Nordeste,4913.0,4913.0
2094,OURO PRETO,MG,Sudeste,74821.0,74821.0
2095,OURO VERDE,SC,Sul,2181.0,2181.0
2096,OURO VERDE DE GOIAS,GO,Centro-Oeste,4057.0,4057.0
2097,OURO VERDE DO OESTE,PR,Sul,6785.0,6785.0
2098,OUROLANDIA,BA,Nordeste,19243.0,19243.0
2099,OUVIDOR,GO,Centro-Oeste,7200.0,7200.0
2100,PACAEMBU,SP,Sudeste,14877.0,14877.0
2101,PACAJA,PA,Norte,41097.0,41097.0
2102,PACAJUS,CE,Nordeste,70983.0,70983.0
2103,PACARAIMA,RR,Norte,19305.0,19305.0
2104,PACATUBA,CE,Nordeste,81524.0,81524.0
2105,PACATUBA,SE,Nordeste,12502.0,12502.0
2106,PACOTI,CE,Nordeste,11186.0,11186.0
2107,PACUJA,CE,Nordeste,6175.0,6175.0
2108,PADRE CARVALHO,MG,Sudeste,5058.0,5058.0
2109,PADRE MARCOS,PI,Nordeste,6382.0,6382.0
2110,PAI PEDRO,MG,Sudeste,5551.0,5551.0
2111,PAIAL,SC,Sul,1927.0,1927.0
2112,PAIM FILHO,RS,Sul,3629.0,3629.0
2113,PAINEIRAS,MG,Sudeste,4224.0,4224.0
2114,PAINEL,SC,Sul,2215.0,2215.0
2115,PAINS,MG,Sudeste,8142.0,8142.0
2116,PAIVA,MG,Sudeste,1474.0,1474.0
2117,PAJEU DO PIAUI,PI,Nordeste,3000.0,3000.0
2118,PALESTINA,AL,Nordeste,4325.0,4325.0
2119,PALHANO,CE,Nordeste,9346.0,9346.0
2120,PALMA SOLA,SC,Sul,7605.0,7605.0
2121,PALMACIA,CE,Nordeste,10242.0,10242.0
2122,PALMARES DO SUL,RS,Sul,12844.0,12844.0
2123,PALMAS DE MONTE ALTO,BA,Nordeste,20078.0,20078.0
2124,PALMEIRA DAS MISSOES,RS,Sul,33216.0,33216.0
2125,PALMEIRA DO PIAUI,PI,Nordeste,4952.0,4952.0
2126,PALMEIRA DOESTE,SP,Sudeste,,
2127,PALMEIRAIS,PI,Nordeste,13264.0,13264.0
2128,PALMEIRANDIA,MA,Nordeste,21059.0,21059.0
2129,PALMEIRANTE,TO,Norte,4798.0,4798.0
2130,PALMEIRAS,BA,Nordeste,10339.0,10339.0
2131,PALMEIRAS DE GOIAS,GO,Centro-Oeste,31858.0,31858.0
2132,PALMEIRAS DO TOCANTINS,TO,Norte,4872.0,4872.0
2133,PALMEIRINA,PE,Nordeste,7031.0,7031.0
2134,PALMEIROPOLIS,TO,Norte,6975.0,6975.0
2135,PALMITAL,PR,Sul,13033.0,13033.0
2136,PALMITAL,SP,Sudeste,19594.0,19594.0
2137,PALMITINHO,RS,Sul,7839.0,7839.0
2138,PALMITOS,SC,Sul,15626.0,15626.0
2139,PALMOPOLIS,MG,Sudeste,6301.0,6301.0
2140,PANAMA,GO,Centro-Oeste,2455.0,2455.0
2141,PANAMBI,RS,Sul,43515.0,43515.0
2142,PANCAS,ES,Sudeste,18893.0,18893.0
2143,PANTANO GRANDE,RS,Sul,10212.0,10212.0
2144,PAPAGAIOS,MG,Sudeste,13920.0,13920.0
2145,PAQUETA,PI,Nordeste,3813.0,3813.0
2146,PARA DE MINAS,MG,Sudeste,97139.0,97139.0
2147,PARACAMBI,RJ,Sudeste,41375.0,41375.0
2148,PARAGUACU,MG,Sudeste,21723.0,21723.0
2149,PARAI,RS,Sul,7194.0,7194.0
2150,PARAIBANO,MA,Nordeste,18274.0,18274.0
2151,PARAIBUNA,SP,Sudeste,17667.0,17667.0
2152,PARAIPABA,CE,Nordeste,32216.0,32216.0
2153,PARAISO,SC,Sul,4267.0,4267.0
2154,PARAISO DAS AGUAS,MS,Centro-Oeste,5510.0,5510.0
2155,PARAISO DO SUL,RS,Sul,6519.0,6519.0
2156,PARAMBU,CE,Nordeste,31445.0,31445.0
2157,PARAMIRIM,BA,Nordeste,20351.0,20351.0
2158,PARAMOTI,CE,Nordeste,10384.0,10384.0
2159,PARANA,RN,Nordeste,3934.0,3934.0
2160,PARANAIGUARA,GO,Centro-Oeste,7607.0,7607.0
2161,PARAOPEBA,MG,Sudeste,24107.0,24107.0
2162,PARAPUA,SP,Sudeste,10580.0,10580.0
2163,PARARI,PB,Nordeste,1720.0,1720.0
2164,PARAU,RN,Nordeste,3579.0,3579.0
2165,PARAZINHO,RN,Nordeste,4801.0,4801.0
2166,PARELHAS,RN,Nordeste,21499.0,21499.0
2167,PARINTINS,AM,Norte,96372.0,96372.0
2168,PARIPIRANGA,BA,Nordeste,26604.0,26604.0
2169,PARNAIBA,PI,Nordeste,162159.0,162159.0
2170,PARNARAMA,MA,Nordeste,31250.0,31250.0
2171,PASSA E FICA,RN,Nordeste,10896.0,10896.0
2172,PASSA QUATRO,MG,Sudeste,15515.0,15515.0
2173,PASSA SETE,RS,Sul,3983.0,3983.0
2174,PASSA VINTE,MG,Sudeste,2233.0,2233.0
2175,PASSABEM,MG,Sudeste,1600.0,1600.0
2176,PASSAGEM,PB,Nordeste,2463.0,2463.0
2177,PASSAGEM,RN,Nordeste,3115.0,3115.0
2178,PASSAGEM FRANCA,MA,Nordeste,17220.0,17220.0
2179,PASSAGEM FRANCA DO PIAUI,PI,Nordeste,4135.0,4135.0
2180,PASSIRA,PE,Nordeste,28340.0,28340.0
2181,PASSO DE CAMARAGIBE,AL,Nordeste,13804.0,13804.0
2182,PASSO DE TORRES,SC,Sul,12897.0,12897.0
2183,PASSO DO SOBRADO,RS,Sul,6025.0,6025.0
2184,PASSOS MAIA,SC,Sul,4034.0,4034.0
2185,PATIS,MG,Sudeste,4837.0,4837.0
2186,PATO BRAGADO,PR,Sul,5733.0,5733.0
2187,PATO BRANCO,PR,Sul,91836.0,91836.0
2188,PATOS DO PIAUI,PI,Nordeste,5425.0,5425.0
2189,PATROCINIO DO MURIAE,MG,Sudeste,5576.0,5576.0
2190,PATU,RN,Nordeste,11007.0,11007.0
2191,PAU BRASIL,BA,Nordeste,9370.0,9370.0
2192,PAU DARCO,TO,Norte,,
2193,PAU DARCO DO PIAUI,PI,Nordeste,,
2194,PAULA CANDIDO,MG,Sudeste,8659.0,8659.0
2195,PAULA FREITAS,PR,Sul,5666.0,5666.0
2196,PAULICEIA,SP,Sudeste,7955.0,7955.0
2197,PAULINO NEVES,MA,Nordeste,17056.0,17056.0
2198,PAULISTA,PB,Nordeste,11834.0,11834.0
2199,PAULISTANA,PI,Nordeste,21055.0,21055.0
2200,PAULISTANIA,SP,Sudeste,2090.0,2090.0
2201,PAULISTAS,MG,Sudeste,4389.0,4389.0
2202,PAULO BENTO,RS,Sul,2144.0,2144.0
2203,PAULO FRONTIN,PR,Sul,6343.0,6343.0
2204,PAULO JACINTO,AL,Nordeste,6576.0,6576.0
2205,PAULO LOPES,SC,Sul,9063.0,9063.0
