,Cidade,UF,Região,População,Pib
1014,ERVAL GRANDE,RS,Sul,4930.0,4930.0
1015,ERVAL SECO,RS,Sul,6787.0,6787.0
1016,ESCADA,PE,Nordeste,59891.0,59891.0
1017,ESMERALDA,RS,Sul,3195.0,3195.0
1018,ESMERALDAS,MG,Sudeste,85598.0,85598.0
1019,ESPERANCA DO SUL,RS,Sul,3226.0,3226.0
1020,ESPERANCA NOVA,PR,Sul,1849.0,1849.0
1021,ESPERANTINA,PI,Nordeste,40970.0,40970.0
1022,ESPERANTINA,TO,Norte,7530.0,7530.0
1023,ESPERANTINOPOLIS,MA,Nordeste,18311.0,18311.0
1024,ESPINOSA,MG,Sudeste,30443.0,30443.0
1025,ESPIRITO SANTO,RN,Nordeste,10620.0,10620.0
1026,ESPIRITO SANTO DO DOURADO,MG,Sudeste,6611.0,6611.0
1027,ESPIRITO SANTO DO TURVO,SP,Sudeste,4157.0,4157.0
1028,ESPLANADA,BA,Nordeste,32554.0,32554.0
1029,ESPUMOSO,RS,Sul,15173.0,15173.0
1030,ESTACAO,RS,Sul,5582.0,5582.0
1031,ESTRELA DALVA,MG,Sudeste,2186.0,2186.0
1032,ESTRELA DO INDAIA,MG,Sudeste,2772.0,2772.0
1033,ESTRELA DO NORTE,GO,Centro-Oeste,3205.0,3205.0
1034,ESTRELA DO NORTE,SP,Sudeste,2703.0,2703.0
1035,ESTRELA DO SUL,MG,Sudeste,6840.0,6840.0
1036,EUCLIDES DA CUNHA PAULISTA,SP,Sudeste,7924.0,7924.0
1037,EUGENIO DE CASTRO,RS,Sul,2633.0,2633.0
1038,EUGENOPOLIS,MG,Sudeste,10801.0,10801.0
1039,EWBANK DA CAMARA,MG,Sudeste,3875.0,3875.0
1040,EXU,PE,Nordeste,31843.0,31843.0
1041,FAGUNDES,PB,Nordeste,11049.0,11049.0
1042,FAGUNDES VARELA,RS,Sul,2566.0,2566.0
1043,FAINA,GO,Centro-Oeste,7070.0,7070.0
1044,FARIA LEMOS,MG,Sudeste,3188.0,3188.0
1045,FARIAS BRITO,CE,Nordeste,18217.0,18217.0
1046,FARO,PA,Norte,8728.0,8728.0
1047,FAROL,PR,Sul,3039.0,3039.0
1048,FARTURA,SP,Sudeste,16641.0,16641.0
1049,FAXINAL,PR,Sul,16389.0,16389.0
1050,FAXINAL DO SOTURNO,RS,Sul,6702.0,6702.0
1051,FAXINAL DOS GUEDES,SC,Sul,11192.0,11192.0
1052,FAXINALZINHO,RS,Sul,2520.0,2520.0
1053,FAZENDA NOVA,GO,Centro-Oeste,5877.0,5877.0
1054,FAZENDA RIO GRANDE,PR,Sul,148873.0,148873.0
1055,FAZENDA VILANOVA,RS,Sul,4291.0,4291.0
1056,FEIJO,AC,Norte,35426.0,35426.0
1057,FEIRA DA MATA,BA,Nordeste,5631.0,5631.0
1058,FEIRA GRANDE,AL,Nordeste,22712.0,22712.0
1059,FEIRA NOVA,SE,Nordeste,5975.0,5975.0
1060,FEIRA NOVA DO MARANHAO,MA,Nordeste,8048.0,8048.0
1061,FELICIO DOS SANTOS,MG,Sudeste,5133.0,5133.0
1062,FELIPE GUERRA,RN,Nordeste,5944.0,5944.0
1063,FELISBURGO,MG,Sudeste,6489.0,6489.0
1064,FERNANDES PINHEIRO,PR,Sul,6255.0,6255.0
1065,FERNANDES TOURINHO,MG,Sudeste,2789.0,2789.0
1066,FERNANDO DE NORONHA,PE,Nordeste,3167.0,3167.0
1067,FERNANDO FALCAO,MA,Nordeste,10873.0,10873.0
1068,FERNANDO PEDROZA,RN,Nordeste,2938.0,2938.0
1069,FERNAO,SP,Sudeste,1656.0,1656.0
1070,FERREIRA GOMES,AP,Norte,6666.0,6666.0
1071,FERREIROS,PE,Nordeste,15026.0,15026.0
1072,FERROS,MG,Sudeste,9590.0,9590.0
1073,FERVEDOURO,MG,Sudeste,10445.0,10445.0
1074,FIGUEIRA,PR,Sul,8062.0,8062.0
1075,FIGUEIROPOLIS,TO,Norte,5211.0,5211.0
1076,FIGUEIROPOLIS DOESTE,MT,Centro-Oeste,,
1077,FILADELFIA,TO,Norte,7712.0,7712.0
1078,FIRMINO ALVES,BA,Nordeste,4873.0,4873.0
1079,FIRMINOPOLIS,GO,Centro-Oeste,10419.0,10419.0
1080,FLEXEIRAS,AL,Nordeste,9618.0,9618.0
1081,FLOR DA SERRA DO SUL,PR,Sul,4364.0,4364.0
1082,FLOR DO SERTAO,SC,Sul,1783.0,1783.0
1083,FLORA RICA,SP,Sudeste,1487.0,1487.0
1084,FLORAI,PR,Sul,4792.0,4792.0
1085,FLORANIA,RN,Nordeste,10196.0,10196.0
1086,FLORES DA CUNHA,RS,Sul,30892.0,30892.0
